EFST_PROVOKE 挑釁狀態
EFST_REWARD_PLUSONLYJOBEXP 職業經驗值倍增5%狀態

EFST_Cash_Mounts 商城坐騎搭乘中
EFST_SPECIALZONE_SA_VOLCANO 火山爆發
EFST_SPECIALZONE_SA_VIOLENTGALE 風元素領域
EFST_SPECIALZONE_SA_DELUGE 水元素領域


#####################################################


MAPPROPERTY_SIEGE 地圖為城戰
MAPPROPERTY_EVENTPVPZONE 地圖為活動PVP區域
MAPPROPERTY_TELEPORT 地圖為可瞬間移動
MAPPROPERTY_CALLMONSTER 地圖為可召喚魔物
MAPPROPERTY_FREEPVPZONE 地圖為自由PVP區域
MAPPROPERTY_PK 地圖為PK
MAPPROPERTY_DENYSKILL 地圖為禁止使用技能
MAPPROPERTY_DENYSKILLZONE 地圖為禁止使用技能區域
MAPPROPERTY_PARTY 地圖為隊伍
MAPPROPERTY_GUILD 地圖為公會
MAPPROPERTY_EXP 地圖為可獲得經驗值
MAPPROPERTY_NOTREMEMBER 地圖為可記憶
MAPPROPERTY_DISCONNECT_NOTREMEMBER 地圖為禁止記憶
MAPPROPERTY_USE_SIMPLE_EFFECT 地圖為使用簡單效果顯示
MAPPROPERTY_DISABLE_LOCKON 地圖為禁用目標鎖定
MAPPROPERTY_AGITZONE 地圖為無法記憶
MAPPROPERTY_NO_CHATTING 地圖為無法對話
MAPPROPERTY_COUNT_PK COUNT PK
MAPPROPERTY_HIDING_DAMAGE
MAPPROPERTY_DISABLE_KNOCKBACK
MAPPROPERTY_LONG_INSUPERABLE_TIME


MAPTYPE_ARENA 地圖為亞雷那模式
MAPTYPE_PORINGBATTLE 地圖為波利戰場模式
MAPTYPE_BATTLEFIELD 地圖為戰場模式
MAPTYPE_ARENA 地圖為任務模式
MAPTYPE_VILLAGE 地圖為城鎮模式
MAPTYPE_VILLAGE_IN 地圖為城鎮內區模式
MAPTYPE_DUNGEON 地圖為地下城模式
MAPTYPE_DUNGEON3 地圖為地下城模式三
MAPTYPE_FIELD 地圖為野外模式
MAPTYPE_DENYSKILL 地圖為禁止使用技能模式
MAPTYPE_NOPENALTY_FREEPKZONE 地圖為無規則自由PK模式
MAPTYPE_AGIT
MAPTYPE_AGIT_SIEGEV15 AGIT SIEGEV15


BODYSTATE_STONECURSE_ING 石化中狀態
BODYSTATE_STONECURSE 石化狀態
BODYSTATE_FREEZING 冰凍狀態
BODYSTATE_SLEEP 沉睡狀態
BODYSTATE_STUN 暈眩狀態
HEALTHSTATE_BLIND 黑暗狀態
HEALTHSTATE_CURSE 詛咒狀態
HEALTHSTATE_SILENCE 沉默狀態
HEALTHSTATE_POISON 中毒狀態
HEALTHSTATE_BLOODING 出血狀態
HEALTHSTATE_HEAVYPOISON 猛毒狀態
HEALTHSTATE_ANGELUS 天使之障壁狀態
HEALTHSTATE_CONFUSION
BODYSTATE_BURNNING 燃燒狀態
BODYSTATE_UNDEAD Undead

EFFECTSTATE_SIGHT 火狩
EFFECTSTATE_RUWACH 光獵
EFFECTSTATE_BURROW 隱藏
EFFECTSTATE_HIDING 偽裝
EFFECTSTATE_FOOTPRINT 暗影追蹤
EFFECTSTATE_BIRD 裝備獵鷹狀態
EFFECTSTATE_CHICKEN 騎乘大嘴鳥
EFFECTSTATE_ORCFACE 獸人臉
EFFECTSTATE_SANTA 聖誕裝
EFFECTSTATE_SUMMER 夏日裝
EFFECTSTATE_MARRIED 結婚禮服
EFFECTSTATE_PUSHCART 手推車
EFFECTSTATE_PUSHCART1 手推車模式一
EFFECTSTATE_PUSHCART2 手推車模式二
EFFECTSTATE_PUSHCART3 手推車模式三
EFFECTSTATE_PUSHCART4 手推車模式四
EFFECTSTATE_PUSHCART5 手推車模式五
EFFECTSTATE_WUGRIDER 狼騎乘
EFFECTSTATE_DRAGON 龍騎乘
EFFECTSTATE_DRAGON2 龍騎乘(黑)
EFFECTSTATE_DRAGON3 龍騎乘(白)
EFFECTSTATE_DRAGON4 龍騎乘(藍)
EFFECTSTATE_DRAGON5 龍騎乘(紅)
EFFECTSTATE_WUG 哮狼
EFFECTSTATE_STAR2 Flying
EFFECTSTATE_MADOGEAR 魔導機甲搭乘中
EFFECTSTATE_SPECIALHIDING GM Perfect Hide
EFFECTSTATE_TRANSFORM Transform


UNKNOWN_MAPPROPERTY_TYPE_10 未知地圖類型
UNKNOWN_MAPPROPERTY_TYPE_13 未知地圖類型
UNKNOWN_MAPPROPERTY_TYPE_18 未知地圖類型
UNKNOWN_MAPPROPERTY_TYPE_24 未知地圖類型
UNKNOWN_MAPPROPERTY_TYPE_26 未知地圖類型
UNKNOWN_MAPPROPERTY_TYPE_8 未知地圖類型
UNKNOWN_MAPTYPE_24 未知地圖類型
UNKNOWN_MAPTYPE_26 未知地圖類型

EFST_DELAY 技能延遲
EFST_HANDICAPSTATE_NORECOVER HPSP不可恢復狀態
EFST_SET_NUM_DEF DEF固定成特定的數值
EFST_SET_NUM_MDEF MDEF固定成特定的數值
EFST_SET_PER_DEF DEF固定成特定百分比
EFST_SET_PER_MDEF MDEF固定成特定百分比
EFST_ATTHASTE_CASH ASPD強化藥水
EFST_ALL_RIDING 坐騎搭乘中
EFST_2011RWC 加油鞭炮狀態
EFST_PHI_DEMON 古代神靈平安符狀態
EFST_GM_BATTLE 戰鬥靈藥狀態
EFST_GM_BATTLE2 高級戰鬥靈藥狀態
EFST_MEIKYOUSISUI 明鏡止水狀態
EFST_IZAYOI 第十六個夜晚狀態
EFST_KG_KAGEHUMI踏影狀態
EFST_KYOMU 虛無飄妙之影狀態
EFST_KAGEMUSYA 影子武士狀態
EFST_ZANGETSU 變形的上弦月狀態
EFST_GENSOU 陰月的幻影狀態
EFST_AKAITSUKI 不祥的紅月狀態
EFST_2011RWC_SCROLL 紅色助推器狀態
EFST_MYSTICPOWDER 神奇粉末狀態
EFST_ON_PUSH_CART 持有手推車狀態
EFST_FLOWER_LEAF 茂盛的花瓣狀態
EFST_M_LIFEPOTION 神奇生命水狀態
